sale_id,親表示順,表示順,日付,期間,注記
2026-06-ss,4,1,6/5(金),00:00 〜 6/7(日) 23:59,
2026-06-ss,4,2,6/10(水),00:00 〜 6/12(金) 23:59,
2026-06-ss,4,3,6/15(月),00:00 〜 6/17(水) 23:59,
2026-06-ss,4,4,6/20(土),00:00 〜 23:59,SALE最終日のため終了まで
2026-09-ss,4,1,9/5(土),00:00 〜 9/7(月) 23:59,
2026-09-ss,4,2,9/10(木),00:00 〜 9/12(土) 23:59,
2026-09-ss,4,3,9/15(火),00:00 〜 9/17(木) 23:59,
2026-09-ss,4,4,9/20(日),00:00 〜 9/22(火) 23:59,5連休と重なります
2026-09-ss,4,5,9/25(金),00:00 〜 9/27(日) 23:59,
2026-09-ss,4,6,9/30(水),00:00 〜 SALE終了まで,10/1 9:59でSALE終了
